1,ARGENTINA ,ARGENTINA
2,BOLIVIA ,BOLIVIANA
3,BRASIL ,BRASILEÑA
4,CHILE ,CHILENA
5,COLOMBIA ,COLOMBIANA
6,COSTA RICA ,COSTARRICENSE
7,CUBA ,CUBANA
8,ECUADOR ,ECUATORIANA
9,EL SALVADOR ,SALVADOREÑA
10,GUATEMALA ,GUATEMALTECA
11,HONDURAS ,HONDUREÑA
12,JAMAICA ,JAMAIQUINA
13,MÉXICO ,MEXICANA
14,NICARAGUA ,NICARAGÜENSE
15,PARAGUAY ,PARAGUAYA
16,PANAMÁ,PANAMEÑA
17,PERÚ,PERUANA
18,PUERTO RICO,PUERTORRIQUEÑA
19,REPÚBLICA DOMINICANA,DOMINICANA
20,URUGUAY ,URUGUAYA
21,VENEZUELA,VENEZOLANA
22,OTROS,OTROS
